index,term,TF(log),TF,IDF,TF-IDF
84,horizon,1.000000,1,6.270178,6.270178
85,hurry,1.000000,1,6.270178,6.270178
86,infinite,1.000000,1,8.216088,8.216088
87,intruder,1.000000,1,7.522941,7.522941
88,kind,1.301030,2,5.382875,7.003282
89,know,1.301030,2,5.651139,7.352301
90,lake,1.954243,9,3.705229,7.240915
91,land,1.000000,1,5.913503,5.913503
92,lap,1.000000,1,7.522941,7.522941
93,last,1.000000,1,7.117476,7.117476
94,leap,1.000000,1,8.216088,8.216088
95,leave,1.000000,1,4.997212,4.997212
96,life,1.602060,4,4.632569,7.421654
97,lift,1.301030,2,5.731181,7.456439
98,light,1.301030,2,4.997212,6.501523
99,lighter,1.000000,1,5.913503,5.913503
100,lightly,1.301030,2,7.117476,9.260050
101,line,1.000000,1,6.424329,6.424329
102,long,1.477121,3,5.080594,7.504653
103,measure,1.000000,1,6.424329,6.424329
104,messages,1.000000,1,8.216088,8.216088
105,moment,1.698970,5,4.997212,8.490114
106,moments,1.000000,1,5.731181,5.731181
107,morning,1.477121,3,5.220356,7.711099
108,motion,1.000000,1,6.829794,6.829794
109,move,1.698970,5,4.578502,7.778737
110,movement,1.301030,2,6.424329,8.358244
111,noise,1.301030,2,5.325716,6.928917
112,notebook,1.602060,4,4.527209,7.252860
113,notice,1.477121,3,4.883884,7.214088
114,open,1.000000,1,5.171566,5.171566
115,outward,1.000000,1,6.270178,6.270178
116,overlook,1.000000,1,7.117476,7.117476
117,paint,1.000000,1,7.117476,7.117476
118,pale,1.000000,1,6.136647,6.136647
119,pass,1.477121,3,5.271649,7.786865
120,path,1.477121,3,4.848792,7.162254
121,pause,1.000000,1,5.731181,5.731181
122,peace,1.000000,1,6.018864,6.018864
123,pen,1.000000,1,5.913503,5.913503
124,pine,1.000000,1,5.818193,5.818193
125,pines,1.000000,1,6.136647,6.136647
126,pink,1.000000,1,6.424329,6.424329
127,place,1.301030,2,5.913503,7.693645
128,plant,1.000000,1,5.913503,5.913503
129,present,1.000000,1,6.136647,6.136647
130,press,1.000000,1,8.216088,8.216088
131,problem,1.000000,1,7.117476,7.117476
132,quiet,1.698970,5,4.957992,8.423479
133,rare,1.000000,1,5.818193,5.818193
134,reach,1.000000,1,5.443499,5.443499
135,realize,1.000000,1,5.577031,5.577031
136,reason,1.000000,1,6.424329,6.424329
137,reflect,1.000000,1,5.913503,5.913503
138,remember,1.000000,1,8.216088,8.216088
139,remind,1.301030,2,5.818193,7.569643
140,reminder,1.000000,1,5.382875,5.382875
141,require,1.000000,1,7.522941,7.522941
142,restless,1.000000,1,6.829794,6.829794
143,return,1.000000,1,6.424329,6.424329
144,reveal,1.000000,1,6.270178,6.270178
145,rhythm,1.000000,1,5.577031,5.577031
146,ring,1.000000,1,6.606650,6.606650
147,ripples,1.301030,2,5.382875,7.003282
148,rock,1.000000,1,6.424329,6.424329
149,roll,1.000000,1,7.522941,7.522941
150,roots,1.000000,1,5.913503,5.913503
151,rougher,1.000000,1,6.606650,6.606650
152,rush,1.301030,2,5.325716,6.928917
153,scattered,1.000000,1,6.424329,6.424329
154,set,1.000000,1,7.117476,7.117476
155,settle,1.000000,1,8.216088,8.216088
156,sharp,1.000000,1,5.731181,5.731181
157,sheet,1.000000,1,8.216088,8.216088
158,shimmering,1.000000,1,7.522941,7.522941
159,shore,1.000000,1,5.913503,5.913503
160,sight,1.000000,1,6.829794,6.829794
161,silence,1.000000,1,5.577031,5.577031
162,silently,1.000000,1,8.216088,8.216088
163,simply,1.477121,3,5.171566,7.639030
164,sit,1.301030,2,5.271649,6.858574
165,sky,1.602060,4,4.750352,7.610349
166,slow,1.301030,2,5.382875,7.003282
167,slowly,1.301030,2,5.731181,7.456439
168,small,1.301030,2,4.957992,6.450496
169,smell,1.000000,1,6.018864,6.018864
170,soft,1.301030,2,5.913503,7.693645
171,softly,1.000000,1,6.606650,6.606650
172,soil,1.000000,1,6.270178,6.270178
173,sound,1.301030,2,5.913503,7.693645
174,splash,1.000000,1,6.018864,6.018864
175,spread,1.000000,1,5.577031,5.577031
176,stand,1.301030,2,5.508038,7.166123
177,stare,1.000000,1,6.606650,6.606650
178,start,1.000000,1,6.270178,6.270178
179,startle,1.000000,1,8.216088,8.216088
180,steady,1.301030,2,5.508038,7.166123
181,step,1.477121,3,4.848792,7.162254
182,stillness,1.602060,4,4.660740,7.466785
183,stir,1.000000,1,6.606650,6.606650
184,streaks,1.000000,1,7.522941,7.522941
185,stretch,1.477121,3,4.997212,7.381488
186,success,1.000000,1,6.270178,6.270178
187,sudden,1.000000,1,7.522941,7.522941
188,sun,1.301030,2,4.997212,6.501523
189,sunlight,1.000000,1,5.913503,5.913503
190,surface,1.698970,5,4.689728,7.967706
191,tall,1.000000,1,5.731181,5.731181
192,tangles,1.000000,1,8.216088,8.216088
193,thickened,1.000000,1,7.522941,7.522941
194,think,1.301030,2,4.814891,6.264317
195,time,1.602060,4,4.689728,7.513225
196,track,1.000000,1,7.522941,7.522941
197,trail,1.301030,2,5.325716,6.928917
198,trees,1.778151,6,4.264844,7.583538
199,unconcerned,1.000000,1,8.216088,8.216088
200,unhurried,1.000000,1,7.522941,7.522941
201,unnoticed,1.000000,1,6.270178,6.270178
202,unseen,1.000000,1,6.136647,6.136647
203,untouched,1.000000,1,8.216088,8.216088
204,urgency,1.000000,1,7.117476,7.117476
205,vanish,1.000000,1,8.216088,8.216088
206,wait,1.477121,3,5.125046,7.570314
207,walk,1.477121,3,4.431898,6.546451
208,want,1.000000,1,6.018864,6.018864
209,warmer,1.000000,1,6.270178,6.270178
210,watch,1.000000,1,5.577031,5.577031
211,water,1.301030,2,4.478418,5.826557
212,wave,1.477121,3,5.325716,7.866729
213,welcome,1.000000,1,7.117476,7.117476
214,whispered,1.000000,1,6.018864,6.018864
215,wide,1.301030,2,5.382875,7.003282
216,widen,1.000000,1,6.829794,6.829794
217,wind,1.301030,2,5.443499,7.082156
218,wings,1.000000,1,5.913503,5.913503
219,words,1.000000,1,5.818193,5.818193
220,world,1.301030,2,4.848792,6.308424
221,worth,1.000000,1,6.606650,6.606650
222,write,1.778151,6,4.088954,7.270778
