index,term,TF,IDF,TF-IDF
479,aficionada,0.000013,1.871802,0.000024
480,aficionadas,0.000006,1.871802,0.000012
481,aficionado,0.000026,1.871802,0.000048
482,aficionados,0.000006,1.871802,0.000012
483,aficiono,0.000006,1.871802,0.000012
484,afincamiento,0.000019,1.871802,0.000036
485,afirma,0.000019,1.871802,0.000036
486,afirmaba,0.000013,1.871802,0.000024
487,afirman,0.000013,1.871802,0.000024
488,afirmar,0.000032,1.871802,0.000060
489,afirmativamente,0.000006,1.871802,0.000012
490,afirmo,0.000026,1.871802,0.000048
491,aflicciones,0.000006,1.871802,0.000012
492,afligi,0.000006,1.871802,0.000012
493,afligida,0.000019,1.871802,0.000036
494,afligido,0.000013,1.871802,0.000024
495,afligidos,0.000013,1.871802,0.000024
496,afligio,0.000013,1.871802,0.000024
497,afligirse,0.000006,1.871802,0.000012
498,afligirte,0.000006,1.871802,0.000012
499,aforrado,0.000006,1.871802,0.000012
500,aforro,0.000006,1.871802,0.000012
501,afortunada,0.000013,1.871802,0.000024
502,afortunado,0.000006,1.871802,0.000012
503,afraid,0.000000,0.955511,0.000000
504,afrenta,0.000013,1.871802,0.000024
505,afrentaba,0.000006,1.871802,0.000012
506,afrentados,0.000006,1.871802,0.000012
507,afrentarse,0.000006,1.871802,0.000012
508,afrentas,0.000006,1.871802,0.000012
509,after,0.000000,0.262364,0.000000
510,afterwards,0.000000,1.871802,0.000000
511,afuera,0.000013,1.871802,0.000024
512,aga,0.000006,1.871802,0.000012
513,again,0.000000,0.262364,0.000000
514,against,0.000000,0.773190,0.000000
515,agasajamos,0.000006,1.871802,0.000012
516,agasajo,0.000006,1.871802,0.000012
517,agazapasen,0.000006,1.871802,0.000012
518,agi,0.000045,1.871802,0.000084
519,agible,0.000006,1.871802,0.000012
520,agitacio,0.000006,1.871802,0.000012
521,ago,0.000000,1.871802,0.000000
522,agoni,0.000006,1.871802,0.000012
523,agora,0.000239,1.871802,0.000446
524,agorero,0.000006,1.871802,0.000012
525,agosto,0.000013,1.871802,0.000024
526,agraciada,0.000013,1.871802,0.000024
527,agraciado,0.000013,1.871802,0.000024
528,agrada,0.000006,1.871802,0.000012
529,agradable,0.000077,1.871802,0.000145
530,agradables,0.000026,1.871802,0.000048
531,agradar,0.000006,1.871802,0.000012
532,agradare,0.000006,1.871802,0.000012
533,agrade,0.000006,1.871802,0.000012
534,agradece,0.000013,1.871802,0.000024
535,agradecemos,0.000006,1.871802,0.000012
536,agradecer,0.000019,1.871802,0.000036
537,agradeceros,0.000006,1.871802,0.000012
538,agradeci,0.000026,1.871802,0.000048
539,agradecida,0.000019,1.871802,0.000036
540,agradecidas,0.000006,1.871802,0.000012
541,agradecido,0.000019,1.871802,0.000036
542,agradecidos,0.000006,1.871802,0.000012
543,agradecie,0.000013,1.871802,0.000024
544,agradecieron,0.000013,1.871802,0.000024
545,agradecimiento,0.000032,1.871802,0.000060
546,agradecio,0.000077,1.871802,0.000145
547,agradezca,0.000006,1.871802,0.000012
548,agradezco,0.000039,1.871802,0.000072
549,agramante,0.000039,1.871802,0.000072
550,agraves,0.000006,1.871802,0.000012
551,agraviaba,0.000006,1.871802,0.000012
552,agraviada,0.000006,1.871802,0.000012
553,agraviado,0.000026,1.871802,0.000048
554,agraviarle,0.000006,1.871802,0.000012
555,agravias,0.000006,1.871802,0.000012
556,agravio,0.000174,1.871802,0.000326
557,agravios,0.000077,1.871802,0.000145
558,agredecie,0.000006,1.871802,0.000012
559,agu,0.000019,1.871802,0.000036
560,agua,0.000284,1.871802,0.000531
561,aguarda,0.000052,1.871802,0.000097
